"SamAccountName","Enabled"
"iludovico","False"
"afarias","False"
"roleite","False"
"impereira","True"
"mramos","True"
"lvalentino","True"
"vbsouza","False"
"asazevedo","True"
"mroliveira","True"
"gmaciel","True"
"jtibaes","True"
"maferreira","True"
"mvianna","True"
"dmendes","True"
"prodrigues","True"
"vanacleto","True"
"shsantos","True"
"digsilva","True"
"cfelix","True"
"esoliveira","True"
"vscsilva","True"
"rpoliveira","True"
"cmcunha","True"
"dmiranda","True"
"mtsilva","True"
"mrosa","True"
"labreu","True"
"rsaraujo","False"
"lrego","True"
"pgomes","True"
"rcoliveira","True"
"scoelho","True"
"vmsilva","True"
"gfasilva","True"
"nsantos","True"
"gsimas","True"
"gribeiro","True"
"acustodio","True"
"nribeiro","True"
"bsantiago","True"
"rbasantos","True"
"thbsilva","True"
"tcsantos","True"
"rbandeira","True"
"gfnascimento","True"
"malmeida","True"
"dmsilva","True"
"pmotta","True"
"aknascimento","True"
"drosa","True"
"cbraga","True"
"adbarbosa","True"
"ttoelp","True"
"tmartins","True"
"aksousa","False"
"lgoulart","True"
"apssouza","True"
"fmfbarros","True"
"jmartins","True"
"sferreira","True"
"mfsantos","True"
"rrodrigues","True"
"ahpsilva","True"
"aosilva","True"
"vpoliveira","True"
"ccarvalho","True"
"mcaetano","True"
"bvitoria","True"
"arccarvalho","True"
"besantos","True"
"mribeiro","False"
"ieneas","True"
"ncteixeira","True"
"_pedidosimp","True"
"_alteraprogferias","True"
"_alertas-infra","True"
"USN_0800Net_servicos","True"
"teste.exchange","True"
"_ETLSRCCHML","True"
"bx_ativo_fixo","True"
"USN_td_Compart","True"
"USN_rh_Fc","True"
"USN_ac_Gestao_frota","False"
"atendimentosap","True"
"_OKTA","True"
"libera_clien_emergen","True"
"suporte-totvs","True"
"_agentbmc","True"
"_mdtbuild","False"
"usn_treinamento","True"
"cobsgi","False"
"cr","False"
"Pos_Conf_Doc","True"
"_sqlRS","True"
"USN_0800Net_Imp_lf","True"
"_sonic","True"
"USN_rh_Adm_rH","False"
"_rfp-ti","True"
"_ETLSRCCPRD","True"
"_lmagent","True"
"USN_0800Net_emergenc","True"
"ac_ems_med_comp","True"
"_etlpinhml","True"
"USN_0800Net_frete","True"
"backofficesd","True"
"_monitorprod","True"
"_poc-impressao","True"
"USN_0800Net_Conferen","True"
"_lync","True"
"_manutdadoscad","True"
"SGIFaturamento","True"
"SI-Gestao_Identidade","True"
"USN_0800Net_rdv","True"
"_anp","True"
"cp_Tesouraria","True"
"pricingcomercial","True"
"wiseit-cad_cli-en_re","True"
"wiseit-acesso_app","True"
"CSC-Informa","True"
"USN_ct_Estoque","True"
"usn_cc","True"
"apoiotroca","True"
"aviso_uso_internet","True"
"RcC_Rio_fax","True"
"USN_rf_Cap_vasilhame","True"
"_relnfs","True"
"reservadesala","True"
"wiseit-control_ponto","True"
"USN_fax_cf","True"
"USN_ct_Faturamento","True"
"wiseit-cad_cli-gr_sc","True"
"USN_sd_Atendimento","True"
"USN_fax_dv","True"
"_tcitrix","True"
"gestaopredial","True"
"comprovantes","True"
"testesan","True"
"comprovantes-sgi","True"
"_preged","True"
"_supergasbras_relaci","True"
"atendimentorcc","True"
"recepcao_usn","True"
"USN_sd_Backoffice","True"
"cadastrosupergasbras","True"
"_apl-riverbed","True"
"agendamento","True"
"shvnfeadminstrador","True"
"Teste","False"
"teste_oab","True"
"gestaodecontratos_sf","True"
"capbr","True"
"USN_ac_Gv","True"
"telefonia_corp","True"
"patri4","True"
"usn_rh_adm_pessoal","True"
"ouvidoriausn","True"
"_super_individual","True"
"termocpd","True"
"_controladoralcd","True"
"ADM-Seguros","True"
"teste_0800","True"
"arribeiro","True"
"lce","True"
"treina_02","True"
"_videovpn","True"
"usn_especialistas","True"
"usn_cadastro","False"
"_etlmisprd","True"
"USN_ct_Ativo Fixo","True"
"_qnap","True"
"USN_0800Net_env_oa","True"
"atendimentoppp","True"
"wiseit-alt_prog_feri","True"
"usn_gc","True"
"USN_ct_Financeiro","True"
"usn_gs","True"
"JEQUIE_20ANDAR","True"
